Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.24 06:00:00,2_19015510083E-05
2024.08.24 07:00:00,2_19447338168E-05
2024.08.24 08:00:00,2_19963512791E-05
2024.08.24 09:00:00,2_20487054321E-05
2024.08.24 10:00:00,2_21101363422E-05
2024.08.24 11:00:00,2_22125272558E-05
2024.08.24 12:00:00,2_23443948926E-05
2024.08.24 13:00:00,2_24892319238E-05
2024.08.24 14:00:00,2_26327683777E-05
2024.08.24 15:00:00,2_295664126E-05
2024.08.24 16:00:00,2_35190873354E-05
2024.08.24 17:00:00,2_39276450884E-05
2024.08.24 18:00:00,2_41025063588E-05
2024.08.24 19:00:00,2_41828511207E-05
2024.08.24 20:00:00,2_42077785515E-05
2024.08.24 21:00:00,2_41921043198E-05
2024.08.24 22:00:00,2_42076475843E-05
2024.08.24 23:00:00,2_42220630753E-05
2024.08.25 00:00:00,2_42274236371E-05
2024.08.25 01:00:00,2_42473615799E-05
2024.08.25 02:00:00,2_42278110818E-05
2024.08.25 03:00:00,2_41565976467E-05
2024.08.25 04:00:00,2_40494591708E-05
2024.08.25 05:00:00,2_39406035689E-05
2024.08.25 06:00:00,2_3831240469E-05
2024.08.25 07:00:00,2_37273034145E-05
2024.08.25 08:00:00,2_35980151047E-05
2024.08.25 09:00:00,2_34545423154E-05
2024.08.25 10:00:00,2_33283062698E-05
2024.08.25 11:00:00,2_32221627812E-05
2024.08.25 12:00:00,2_31084031839E-05
2024.08.25 13:00:00,2_29666002269E-05
2024.08.25 14:00:00,2_28027147386E-05
2024.08.25 15:00:00,2_26329648285E-05
2024.08.25 16:00:00,2_24521882046E-05
2024.08.25 17:00:00,2_22676790145E-05
2024.08.25 18:00:00,2_20930305659E-05
2024.08.25 19:00:00,2_19161775021E-05
2024.08.25 20:00:00,2_17144606722E-05
2024.08.25 21:00:00,2_15021063923E-05
2024.08.25 22:00:00,2_1297368221E-05
2024.08.25 23:00:00,2_11277983908E-05
2024.08.26 00:00:00,2_09932277357E-05
2024.08.26 01:00:00,2_08715246117E-05
2024.08.26 02:00:00,2_07474149647E-05
2024.08.26 03:00:00,2_06237127713E-05
