Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.20 10:00:00,3_04920267808E-05
2024.08.20 11:00:00,3_0425564546E-05
2024.08.20 12:00:00,3_03940632875E-05
2024.08.20 13:00:00,3_03475735564E-05
2024.08.20 14:00:00,3_02945427393E-05
2024.08.20 15:00:00,3_02609205391E-05
2024.08.20 16:00:00,3_01977361232E-05
2024.08.20 17:00:00,3_018197458E-05
2024.08.20 18:00:00,3_01283998851E-05
2024.08.20 19:00:00,3_0089457141E-05
2024.08.20 20:00:00,3_00725769193E-05
2024.08.20 21:00:00,3_00524006889E-05
2024.08.20 22:00:00,2_99114708469E-05
2024.08.20 23:00:00,2_99587263726E-05
2024.08.21 00:00:00,2_99335206364E-05
2024.08.21 01:00:00,2_98671238852E-05
2024.08.21 02:00:00,2_98398972518E-05
2024.08.21 03:00:00,2_97954684356E-05
2024.08.21 04:00:00,2_97547812806E-05
2024.08.21 05:00:00,2_9722104955E-05
2024.08.21 06:00:00,2_96897032968E-05
2024.08.21 07:00:00,2_96474172501E-05
2024.08.21 08:00:00,2_95920199278E-05
2024.08.21 09:00:00,2_95548925351E-05
2024.08.21 10:00:00,2_95123845717E-05
2024.08.21 11:00:00,2_94734581985E-05
2024.08.21 12:00:00,2_94468718494E-05
2024.08.21 13:00:00,2_93677167065E-05
2024.08.21 14:00:00,2_93117791443E-05
2024.08.21 15:00:00,2_92811655527E-05
2024.08.21 16:00:00,2_92168460874E-05
2024.08.21 17:00:00,2_91467185889E-05
2024.08.21 18:00:00,2_91213236778E-05
2024.08.21 19:00:00,2_90776570182E-05
2024.08.21 20:00:00,2_90565094474E-05
2024.08.21 21:00:00,2_90520329145E-05
2024.08.21 22:00:00,2_90516618406E-05
2024.08.21 23:00:00,2_90436528303E-05
2024.08.22 00:00:00,2_90312091238E-05
2024.08.22 01:00:00,2_90143070742E-05
2024.08.22 02:00:00,2_89964445983E-05
2024.08.22 03:00:00,2_89736162813E-05
2024.08.22 04:00:00,2_89454346785E-05
2024.08.22 05:00:00,2_89296731353E-05
2024.08.22 06:00:00,2_89059717034E-05
2024.08.22 07:00:00,2_88435057882E-05
2024.08.22 08:00:00,2_87517304969E-05
2024.08.22 09:00:00,2_86886952381E-05
2024.08.22 10:00:00,2_86415688606E-05
2024.08.22 11:00:00,2_85506303044E-05
2024.08.22 12:00:00,2_85301102849E-05
2024.08.22 13:00:00,2_85004498437E-05
2024.08.22 14:00:00,2_84583929897E-05
2024.08.22 15:00:00,2_84482339339E-05
2024.08.22 16:00:00,2_83818571916E-05
2024.08.22 17:00:00,2_83329918602E-05
2024.08.22 18:00:00,2_831861093E-05
2024.08.22 19:00:00,2_83176777884E-05
2024.08.22 20:00:00,2_83118042717E-05
2024.08.22 21:00:00,2_83126446448E-05
2024.08.22 22:00:00,2_83138997474E-05
2024.08.22 23:00:00,2_82995788439E-05
2024.08.23 00:00:00,2_82864821202E-05
2024.08.23 01:00:00,2_8269338145E-05
2024.08.23 02:00:00,2_82519340544E-05
2024.08.23 03:00:00,2_8239655876E-05
2024.08.23 04:00:00,2_82229866571E-05
2024.08.23 05:00:00,2_81975317193E-05
2024.08.23 06:00:00,2_81752618321E-05
2024.08.23 07:00:00,2_81423835986E-05
2024.08.23 08:00:00,2_80898602796E-05
2024.08.23 09:00:00,2_80421463685E-05
2024.08.23 10:00:00,2_79922751361E-05
2024.08.23 11:00:00,2_79550931737E-05
2024.08.23 12:00:00,2_79149753624E-05
2024.08.23 13:00:00,2_78619518213E-05
2024.08.23 14:00:00,2_77958533843E-05
2024.08.23 15:00:00,2_7790754757E-05
2024.08.23 16:00:00,2_77568760794E-05
2024.08.23 17:00:00,2_76816626865E-05
2024.08.23 18:00:00,2_76554310403E-05
2024.08.23 19:00:00,2_76552764262E-05
2024.08.23 20:00:00,2_76501814369E-05
2024.08.23 21:00:00,2_76398786809E-05
2024.08.23 22:00:00,2_76390383078E-05
2024.08.23 23:00:00,2_76111622952E-05
2024.08.24 00:00:00,2_7588886951E-05
2024.08.24 01:00:00,2_7565190976E-05
2024.08.24 02:00:00,2_75403963315E-05
2024.08.24 03:00:00,2_75191741821E-05
2024.08.24 04:00:00,2_74977501249E-05
2024.08.24 05:00:00,2_74744543276E-05
2024.08.24 06:00:00,2_74405265372E-05
2024.08.24 07:00:00,2_74104331766E-05
2024.08.24 08:00:00,2_73698769888E-05
2024.08.24 09:00:00,2_73231926258E-05
2024.08.24 10:00:00,2_72917586699E-05
2024.08.24 11:00:00,2_7266341931E-05
2024.08.24 12:00:00,2_7237494578E-05
2024.08.24 13:00:00,2_72113902611E-05
2024.08.24 14:00:00,2_71754597634E-05
2024.08.24 15:00:00,2_72002216661E-05
2024.08.24 16:00:00,2_7213465728E-05
2024.08.24 17:00:00,2_71235639957E-05
2024.08.24 18:00:00,2_70449309028E-05
2024.08.24 19:00:00,2_70185082627E-05
2024.08.24 20:00:00,2_67710656772E-05
2024.08.24 21:00:00,2_6605779567E-05
2024.08.24 22:00:00,2_66557944997E-05
2024.08.24 23:00:00,2_66449114861E-05
2024.08.25 00:00:00,2_65867074631E-05
2024.08.25 01:00:00,2_65402741206E-05
2024.08.25 02:00:00,2_64753034571E-05
2024.08.25 03:00:00,2_64062073256E-05
2024.08.25 04:00:00,2_63302936219E-05
2024.08.25 05:00:00,2_62523935817E-05
2024.08.25 06:00:00,2_61354234681E-05
2024.08.25 07:00:00,2_59881962847E-05
2024.08.25 08:00:00,2_58294658124E-05
2024.08.25 09:00:00,2_57263054664E-05
2024.08.25 10:00:00,2_56455714407E-05
2024.08.25 11:00:00,2_55960385402E-05
2024.08.25 12:00:00,2_55499271589E-05
2024.08.25 13:00:00,2_5449313398E-05
2024.08.25 14:00:00,2_53324978985E-05
2024.08.25 15:00:00,2_52364716289E-05
2024.08.25 16:00:00,2_51380461123E-05
2024.08.25 17:00:00,2_5084711524E-05
2024.08.25 18:00:00,2_5044873837E-05
2024.08.25 19:00:00,2_49827680818E-05
2024.08.25 20:00:00,2_49383920163E-05
2024.08.25 21:00:00,2_48961805482E-05
2024.08.25 22:00:00,2_48554515565E-05
2024.08.25 23:00:00,2_481708907E-05
2024.08.26 00:00:00,2_47812658927E-05
2024.08.26 01:00:00,2_47488151217E-05
2024.08.26 02:00:00,2_47163643508E-05
2024.08.26 03:00:00,2_46937979682E-05
2024.08.26 04:00:00,2_46708041232E-05
2024.08.26 05:00:00,2_46461822826E-05
2024.08.26 06:00:00,2_46192903433E-05
2024.08.26 07:00:00,2_45491446549E-05
2024.08.26 08:00:00,2_4410601327E-05
2024.08.26 09:00:00,2_43059039349E-05
2024.08.26 10:00:00,2_41768593696E-05
2024.08.26 11:00:00,2_40801109612E-05
2024.08.26 12:00:00,2_39529945247E-05
2024.08.26 13:00:00,2_37740932789E-05
2024.08.26 14:00:00,2_35528605117E-05
2024.08.26 15:00:00,2_34225080931E-05
2024.08.26 16:00:00,2_33234404732E-05
2024.08.26 17:00:00,2_32334114116E-05
