Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.15 23:00:00,3_41972707929E-08
2024.08.16 00:00:00,3_45890533993E-08
2024.08.16 01:00:00,3_5008799415E-08
2024.08.16 02:00:00,3_54541178638E-08
2024.08.16 03:00:00,3_59200456046E-08
2024.08.16 04:00:00,3_64090269045E-08
2024.08.16 05:00:00,3_68904657932E-08
2024.08.16 06:00:00,3_73826480882E-08
2024.08.16 07:00:00,3_78824616121E-08
2024.08.16 08:00:00,3_83517182456E-08
2024.08.16 09:00:00,3_87872916008E-08
2024.08.16 10:00:00,3_92113648218E-08
2024.08.16 11:00:00,3_96025860994E-08
2024.08.16 12:00:00,3_99955837338E-08
2024.08.16 13:00:00,4_03943829497E-08
2024.08.16 14:00:00,4_08723046519E-08
2024.08.16 15:00:00,4_14054817099E-08
2024.08.16 16:00:00,4_19831529541E-08
2024.08.16 17:00:00,4_25856221398E-08
2024.08.16 18:00:00,4_32490345759E-08
2024.08.16 19:00:00,4_38968150718E-08
2024.08.16 20:00:00,4_45483792078E-08
2024.08.16 21:00:00,4_52461286216E-08
2024.08.16 22:00:00,4_59618796356E-08
2024.08.16 23:00:00,4_66919729547E-08
2024.08.17 00:00:00,4_74402064299E-08
2024.08.17 01:00:00,4_82134439039E-08
2024.08.17 02:00:00,4_9026883886E-08
2024.08.17 03:00:00,4_98754246792E-08
2024.08.17 04:00:00,5_07551192186E-08
2024.08.17 05:00:00,5_16710905174E-08
2024.08.17 06:00:00,5_26301064951E-08
2024.08.17 07:00:00,5_3633716135E-08
2024.08.17 08:00:00,5_4806942984E-08
2024.08.17 09:00:00,5_59499149233E-08
2024.08.17 10:00:00,5_6531153092E-08
2024.08.17 11:00:00,5_73101601731E-08
2024.08.17 12:00:00,5_82641774827E-08
2024.08.17 13:00:00,5_93898263901E-08
2024.08.17 14:00:00,6_06328924846E-08
2024.08.17 15:00:00,6_1700099252E-08
2024.08.17 16:00:00,6_23860998417E-08
2024.08.17 17:00:00,6_31203889156E-08
2024.08.17 18:00:00,6_39703401362E-08
2024.08.17 19:00:00,6_49462066349E-08
2024.08.17 20:00:00,6_60623982185E-08
2024.08.17 21:00:00,6_73251676631E-08
2024.08.17 22:00:00,6_85160657099E-08
2024.08.17 23:00:00,6_97495252666E-08
2024.08.18 00:00:00,7_1034072846E-08
2024.08.18 01:00:00,7_23478024156E-08
2024.08.18 02:00:00,7_36071044116E-08
2024.08.18 03:00:00,7_50084367951E-08
2024.08.18 04:00:00,7_64700445188E-08
2024.08.18 05:00:00,7_8115547808E-08
2024.08.18 06:00:00,7_99181734124E-08
2024.08.18 07:00:00,8_17966281375E-08
2024.08.18 08:00:00,8_37547844412E-08
2024.08.18 09:00:00,8_55970938574E-08
2024.08.18 10:00:00,8_7193740228E-08
2024.08.18 11:00:00,8_89163942475E-08
2024.08.18 12:00:00,9_03147778786E-08
2024.08.18 13:00:00,9_16571210041E-08
2024.08.18 14:00:00,9_29370571612E-08
2024.08.18 15:00:00,9_43559896882E-08
2024.08.18 16:00:00,9_58096961767E-08
2024.08.18 17:00:00,9_74805089982E-08
2024.08.18 18:00:00,9_93542599304E-08
2024.08.18 19:00:00,1_01420951637E-07
2024.08.18 20:00:00,1_03617551872E-07
2024.08.18 21:00:00,1_05786000404E-07
2024.08.18 22:00:00,1_0801204553E-07
2024.08.18 23:00:00,1_10170475409E-07
2024.08.19 00:00:00,1_12503826699E-07
2024.08.19 01:00:00,1_14603025736E-07
2024.08.19 02:00:00,1_16544192963E-07
2024.08.19 03:00:00,1_18950651995E-07
2024.08.19 04:00:00,1_21192485381E-07
2024.08.19 05:00:00,1_23368934624E-07
2024.08.19 06:00:00,1_25399282069E-07
2024.08.19 07:00:00,1_27543472672E-07
2024.08.19 08:00:00,1_29611294142E-07
2024.08.19 09:00:00,1_31620197408E-07
2024.08.19 10:00:00,1_33718899065E-07
2024.08.19 11:00:00,1_35441510452E-07
2024.08.19 12:00:00,1_36996263223E-07
2024.08.19 13:00:00,1_39663313803E-07
2024.08.19 14:00:00,1_42616300991E-07
2024.08.19 15:00:00,1_49247313175E-07
2024.08.19 16:00:00,1_54698469146E-07
2024.08.19 17:00:00,1_58625752533E-07
2024.08.19 18:00:00,1_59467262506E-07
2024.08.19 19:00:00,1_59305315606E-07
2024.08.19 20:00:00,1_59832865165E-07
2024.08.19 21:00:00,1_60686795425E-07
2024.08.19 22:00:00,1_61774480034E-07
2024.08.19 23:00:00,1_63316244084E-07
2024.08.20 00:00:00,1_65029945265E-07
2024.08.20 01:00:00,1_6685278581E-07
2024.08.20 02:00:00,1_68829402014E-07
2024.08.20 03:00:00,1_70885556372E-07
2024.08.20 04:00:00,1_72944439214E-07
2024.08.20 05:00:00,1_75057778051E-07
2024.08.20 06:00:00,1_77266386459E-07
2024.08.20 07:00:00,1_79371838271E-07
2024.08.20 08:00:00,1_81525919629E-07
2024.08.20 09:00:00,1_83817348898E-07
2024.08.20 10:00:00,1_86187634199E-07
2024.08.20 11:00:00,1_88316633398E-07
2024.08.20 12:00:00,1_9045133115E-07
2024.08.20 13:00:00,1_93075351262E-07
2024.08.20 14:00:00,1_95498287781E-07
