Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.19 19:00:00,3_1235460483E-05
2024.08.19 20:00:00,3_11948751914E-05
2024.08.19 21:00:00,3_11398071062E-05
2024.08.19 22:00:00,3_11134281219E-05
2024.08.19 23:00:00,3_10797040584E-05
2024.08.20 00:00:00,3_10416799039E-05
2024.08.20 01:00:00,3_09808674501E-05
2024.08.20 02:00:00,3_09551687678E-05
2024.08.20 03:00:00,3_08720264002E-05
2024.08.20 04:00:00,3_07680820697E-05
2024.08.20 05:00:00,3_07289337798E-05
2024.08.20 06:00:00,3_0738327041E-05
2024.08.20 07:00:00,3_06967049255E-05
2024.08.20 08:00:00,3_06618712784E-05
2024.08.20 09:00:00,3_06117326545E-05
2024.08.20 10:00:00,3_05670910166E-05
2024.08.20 11:00:00,3_05077810481E-05
2024.08.20 12:00:00,3_04604436678E-05
2024.08.20 13:00:00,3_04265413433E-05
2024.08.20 14:00:00,3_03492015519E-05
2024.08.20 15:00:00,3_03393153445E-05
2024.08.20 16:00:00,3_02889457089E-05
2024.08.20 17:00:00,3_02969820041E-05
2024.08.20 18:00:00,3_02598891722E-05
2024.08.20 19:00:00,3_02335629385E-05
2024.08.20 20:00:00,3_02046919387E-05
2024.08.20 21:00:00,3_0157772926E-05
2024.08.20 22:00:00,2_99298935715E-05
2024.08.20 23:00:00,3_00462779705E-05
2024.08.21 00:00:00,3_00250339933E-05
2024.08.21 01:00:00,2_99333805742E-05
2024.08.21 02:00:00,2_99300718325E-05
2024.08.21 03:00:00,2_98941540677E-05
2024.08.21 04:00:00,2_9850847568E-05
2024.08.21 05:00:00,2_98114919133E-05
2024.08.21 06:00:00,2_97704609693E-05
2024.08.21 07:00:00,2_97193018923E-05
2024.08.21 08:00:00,2_96510752378E-05
2024.08.21 09:00:00,2_95874979201E-05
2024.08.21 10:00:00,2_95364116027E-05
2024.08.21 11:00:00,2_94996534649E-05
2024.08.21 12:00:00,2_9487780921E-05
2024.08.21 13:00:00,2_94665442198E-05
2024.08.21 14:00:00,2_94333440252E-05
2024.08.21 15:00:00,2_937809586E-05
2024.08.21 16:00:00,2_9373633879E-05
2024.08.21 17:00:00,2_93508237519E-05
2024.08.21 18:00:00,2_93040538963E-05
2024.08.21 19:00:00,2_92874301522E-05
2024.08.21 20:00:00,2_92485801765E-05
2024.08.21 21:00:00,2_92130971502E-05
2024.08.21 22:00:00,2_91864380415E-05
2024.08.21 23:00:00,2_91534670396E-05
2024.08.22 00:00:00,2_91414362437E-05
2024.08.22 01:00:00,2_91310643661E-05
2024.08.22 02:00:00,2_9105152862E-05
2024.08.22 03:00:00,2_9089707823E-05
2024.08.22 04:00:00,2_90548177873E-05
2024.08.22 05:00:00,2_90210191451E-05
2024.08.22 06:00:00,2_89832114504E-05
2024.08.22 07:00:00,2_89079525828E-05
2024.08.22 08:00:00,2_88001028821E-05
2024.08.22 09:00:00,2_86834037979E-05
2024.08.22 10:00:00,2_85598798655E-05
2024.08.22 11:00:00,2_84389698209E-05
2024.08.22 12:00:00,2_83584522549E-05
2024.08.22 13:00:00,2_82346391032E-05
2024.08.22 14:00:00,2_81605225609E-05
2024.08.22 15:00:00,2_81781685771E-05
2024.08.22 16:00:00,2_8209440643E-05
2024.08.22 17:00:00,2_82253768091E-05
2024.08.22 18:00:00,2_823124305E-05
2024.08.22 19:00:00,2_82825312752E-05
2024.08.22 20:00:00,2_83046065306E-05
2024.08.22 21:00:00,2_82875771518E-05
2024.08.22 22:00:00,2_82988494291E-05
2024.08.22 23:00:00,2_82989913103E-05
2024.08.23 00:00:00,2_82867204078E-05
