Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.09 09:00:00,6.66207779432E-06
2024.08.09 10:00:00,6.23726145932E-06
2024.08.09 11:00:00,5.87435260968E-06
2024.08.09 12:00:00,5.62121294934E-06
2024.08.09 13:00:00,5.59597083338E-06
2024.08.09 14:00:00,6.01396504862E-06
2024.08.09 15:00:00,6.39129348201E-06
2024.08.09 16:00:00,6.56609154248E-06
2024.08.09 17:00:00,6.57755617794E-06
2024.08.09 18:00:00,6.46699027129E-06
2024.08.09 19:00:00,6.33886611467E-06
2024.08.09 20:00:00,6.30254135103E-06
2024.08.09 21:00:00,6.33446961729E-06
2024.08.09 22:00:00,6.38613164483E-06
2024.08.09 23:00:00,6.3880002017E-06
2024.08.10 00:00:00,6.34116986475E-06
2024.08.10 01:00:00,6.31372768112E-06
2024.08.10 02:00:00,6.29084024695E-06
2024.08.10 03:00:00,6.24131007498E-06
2024.08.10 04:00:00,6.17053638052E-06
2024.08.10 05:00:00,6.16076977167E-06
2024.08.10 06:00:00,6.18282456344E-06
2024.08.10 07:00:00,6.19270758762E-06
2024.08.10 08:00:00,6.20203672952E-06
2024.08.10 09:00:00,6.23655478194E-06
2024.08.10 10:00:00,6.31797092865E-06
2024.08.10 11:00:00,6.5918461587E-06
2024.08.10 12:00:00,7.22489812688E-06
2024.08.10 13:00:00,7.91555976321E-06
2024.08.10 14:00:00,8.35369337437E-06
2024.08.10 15:00:00,8.52810353535E-06
2024.08.10 16:00:00,8.49200569064E-06
2024.08.10 17:00:00,8.42107147037E-06
2024.08.10 18:00:00,8.26601262816E-06
2024.08.10 19:00:00,7.99936333351E-06
2024.08.10 20:00:00,7.69650250732E-06
2024.08.10 21:00:00,7.40217774364E-06
2024.08.10 22:00:00,7.08476500222E-06
2024.08.10 23:00:00,6.75490628055E-06
2024.08.11 00:00:00,6.47834258416E-06
2024.08.11 01:00:00,6.24183849141E-06
2024.08.11 02:00:00,6.02781528869E-06
2024.08.11 03:00:00,5.87111117056E-06
2024.08.11 04:00:00,5.76350839765E-06
2024.08.11 05:00:00,5.68469886275E-06
2024.08.11 06:00:00,5.61040133107E-06
2024.08.11 07:00:00,5.54012831344E-06
2024.08.11 08:00:00,5.47477338841E-06
2024.08.11 09:00:00,5.43270698472E-06
2024.08.11 10:00:00,5.41812414667E-06
2024.08.11 11:00:00,5.40711698704E-06
2024.08.11 12:00:00,5.42145517102E-06
2024.08.11 13:00:00,5.45592547496E-06
2024.08.11 14:00:00,5.47878698853E-06
2024.08.11 15:00:00,5.46738783669E-06
2024.08.11 16:00:00,5.43169471712E-06
2024.08.11 17:00:00,5.38652147952E-06
2024.08.11 18:00:00,5.34156197318E-06
2024.08.11 19:00:00,5.29617636857E-06
2024.08.11 20:00:00,5.26204803464E-06
2024.08.11 21:00:00,5.24673714608E-06
2024.08.11 22:00:00,5.2391205827E-06
2024.08.11 23:00:00,5.22750087839E-06
2024.08.12 00:00:00,5.21969286638E-06
2024.08.12 01:00:00,5.21668562214E-06
2024.08.12 02:00:00,5.21750780536E-06
2024.08.12 03:00:00,5.21653009855E-06
2024.08.12 04:00:00,5.22259142599E-06
2024.08.12 05:00:00,5.2359532674E-06
2024.08.12 06:00:00,5.2570853768E-06
2024.08.12 07:00:00,5.28441114511E-06
2024.08.12 08:00:00,5.30907618668E-06
2024.08.12 09:00:00,5.3301605476E-06
2024.08.12 10:00:00,5.3508374549E-06
2024.08.12 11:00:00,5.36227298653E-06
2024.08.12 12:00:00,5.37414143764E-06
2024.08.12 13:00:00,5.39240181752E-06
2024.08.12 14:00:00,5.43601663594E-06
2024.08.12 15:00:00,5.52941173737E-06
2024.08.12 16:00:00,5.65740492675E-06
2024.08.12 17:00:00,5.75841158934E-06
2024.08.12 18:00:00,5.83213932259E-06
2024.08.12 19:00:00,5.93249615122E-06
2024.08.12 20:00:00,6.05575587542E-06
2024.08.12 21:00:00,6.19438787908E-06
2024.08.12 22:00:00,6.35779224467E-06
2024.08.12 23:00:00,6.56377187624E-06
2024.08.13 00:00:00,6.77995194565E-06
2024.08.13 01:00:00,6.97859331922E-06
2024.08.13 02:00:00,7.12997234587E-06
2024.08.13 03:00:00,7.22933873476E-06
2024.08.13 04:00:00,7.28387294657E-06
2024.08.13 05:00:00,7.34276636649E-06
2024.08.13 06:00:00,7.40964151191E-06
2024.08.13 07:00:00,7.46568684917E-06
2024.08.13 08:00:00,7.50441085984E-06
2024.08.13 09:00:00,7.47390731703E-06
2024.08.13 10:00:00,7.30507872504E-06
2024.08.13 11:00:00,7.05208140062E-06
2024.08.13 12:00:00,6.81138590153E-06
2024.08.13 13:00:00,6.65567131364E-06
2024.08.13 14:00:00,6.57693681205E-06
2024.08.13 15:00:00,6.54099767416E-06
2024.08.13 16:00:00,6.53486858937E-06
2024.08.13 17:00:00,6.53493862046E-06
2024.08.13 18:00:00,6.5309582169E-06
2024.08.13 19:00:00,6.53017423247E-06
2024.08.13 20:00:00,6.54158884572E-06
2024.08.13 21:00:00,6.55678513795E-06
2024.08.13 22:00:00,6.56078054817E-06
2024.08.13 23:00:00,6.57611053612E-06
2024.08.14 00:00:00,6.59835632177E-06
2024.08.14 01:00:00,6.62457023282E-06
2024.08.14 02:00:00,6.65910556563E-06
2024.08.14 03:00:00,6.74607872497E-06
2024.08.14 04:00:00,6.87010742695E-06
2024.08.14 05:00:00,7.0046971814E-06
2024.08.14 06:00:00,7.15194664735E-06
2024.08.14 07:00:00,7.30228521206E-06
2024.08.14 08:00:00,7.45733359508E-06
2024.08.14 09:00:00,7.63428124628E-06
2024.08.14 10:00:00,7.83266750659E-06
2024.08.14 11:00:00,8.03138482297E-06
2024.08.14 12:00:00,8.26319774205E-06
