Time [yyyy.MM.dd HH:mm:ss],dTR1 [g/m3]
2024.09.08 15:00:00,1.02574858829E-05
2024.09.08 16:00:00,1.01747009467E-05
2024.09.08 17:00:00,1.00831321106E-05
2024.09.08 18:00:00,9.98321593215E-06
2024.09.08 19:00:00,9.86968461802E-06
2024.09.08 20:00:00,9.76841056399E-06
2024.09.08 21:00:00,9.65740491665E-06
2024.09.08 22:00:00,9.56110307015E-06
2024.09.08 23:00:00,9.47137050389E-06
2024.09.09 00:00:00,9.39083747653E-06
2024.09.09 01:00:00,9.31518479774E-06
2024.09.09 02:00:00,9.24196046981E-06
2024.09.09 03:00:00,9.17285979085E-06
2024.09.09 04:00:00,9.10075141292E-06
2024.09.09 05:00:00,9.03885211301E-06
2024.09.09 06:00:00,8.99064161786E-06
2024.09.09 07:00:00,8.94741606317E-06
2024.09.09 08:00:00,8.90476076165E-06
2024.09.09 09:00:00,8.87044552655E-06
2024.09.09 10:00:00,8.84096698428E-06
2024.09.09 11:00:00,8.81223786564E-06
2024.09.09 12:00:00,8.78224000189E-06
2024.09.09 13:00:00,8.74912711879E-06
2024.09.09 14:00:00,8.70997337188E-06
2024.09.09 15:00:00,8.66654772835E-06
2024.09.09 16:00:00,8.62190245243E-06
2024.09.09 17:00:00,8.57838131196E-06
2024.09.09 18:00:00,8.53945857671E-06
2024.09.09 19:00:00,8.5064830273E-06
2024.09.09 20:00:00,8.48030958878E-06
2024.09.09 21:00:00,8.46105103847E-06
2024.09.09 22:00:00,8.44667920319E-06
2024.09.09 23:00:00,8.43508587423E-06
2024.09.10 00:00:00,8.42454574013E-06
2024.09.10 01:00:00,8.41478595248E-06
2024.09.10 02:00:00,8.4071789388E-06
2024.09.10 03:00:00,8.40425855131E-06
2024.09.10 04:00:00,8.40517441247E-06
2024.09.10 05:00:00,8.4086723291E-06
2024.09.10 06:00:00,8.41326163936E-06
2024.09.10 07:00:00,8.41877863422E-06
2024.09.10 08:00:00,8.42347253638E-06
2024.09.10 09:00:00,8.42701410875E-06
2024.09.10 10:00:00,8.42938243295E-06
2024.09.10 11:00:00,8.42925965117E-06
2024.09.10 12:00:00,8.4240009528E-06
2024.09.10 13:00:00,8.42101508169E-06
2024.09.10 14:00:00,8.41699602461E-06
2024.09.10 15:00:00,8.41059591039E-06
2024.09.10 16:00:00,8.40409575176E-06
2024.09.10 17:00:00,8.3984914454E-06
2024.09.10 18:00:00,8.39434142108E-06
2024.09.10 19:00:00,8.39341373648E-06
2024.09.10 20:00:00,8.39441872813E-06
2024.09.10 21:00:00,8.39730091684E-06
2024.09.10 22:00:00,8.40190114104E-06
2024.09.10 23:00:00,8.40863140184E-06
2024.09.11 00:00:00,8.41731252876E-06
2024.09.11 01:00:00,8.42707777338E-06
2024.09.11 02:00:00,8.4384037109E-06
2024.09.11 03:00:00,8.45099566504E-06
2024.09.11 04:00:00,8.46372859087E-06
2024.09.11 05:00:00,8.47748651722E-06
2024.09.11 06:00:00,8.49249590829E-06
2024.09.11 07:00:00,8.51053664519E-06
2024.09.11 08:00:00,8.52880657476E-06
2024.09.11 09:00:00,8.54554491525E-06
2024.09.11 10:00:00,8.55864527693E-06
2024.09.11 11:00:00,8.55736834637E-06
2024.09.11 12:00:00,8.55174948811E-06
2024.09.11 13:00:00,8.54318841448E-06
2024.09.11 14:00:00,8.53295478009E-06
2024.09.11 15:00:00,8.52164339449E-06
2024.09.11 16:00:00,8.51190543472E-06
2024.09.11 17:00:00,8.50539072417E-06
2024.09.11 18:00:00,8.50261312735E-06
2024.09.11 19:00:00,8.50442211231E-06
2024.09.11 20:00:00,8.51191725815E-06
2024.09.11 21:00:00,8.52822267916E-06
2024.09.11 22:00:00,8.55445250636E-06
2024.09.11 23:00:00,8.57890154293E-06
2024.09.12 00:00:00,8.59595184011E-06
2024.09.12 01:00:00,8.6102172645E-06
2024.09.12 02:00:00,8.6239160737E-06
2024.09.12 03:00:00,8.63776404003E-06
2024.09.12 04:00:00,8.65075344336E-06
2024.09.12 05:00:00,8.66412028699E-06
2024.09.12 06:00:00,8.67753078637E-06
2024.09.12 07:00:00,8.69063205755E-06
2024.09.12 08:00:00,8.70322764968E-06
2024.09.12 09:00:00,8.71398333402E-06
2024.09.12 10:00:00,8.72179498401E-06
2024.09.12 11:00:00,8.7246125986E-06
2024.09.12 12:00:00,8.72012060427E-06
2024.09.12 13:00:00,8.71032534633E-06
2024.09.12 14:00:00,8.69548875926E-06
2024.09.12 15:00:00,8.67901599122E-06
2024.09.12 16:00:00,8.66509435582E-06
2024.09.12 17:00:00,8.65695710672E-06
