Time [yyyy.MM.dd HH:mm:ss],dTR1 [g/m3]
2024.08.17 00:00:00,2_94417368423E-05
2024.08.17 01:00:00,2_93967059406E-05
2024.08.17 02:00:00,2_9340848414E-05
2024.08.17 03:00:00,2_92785680358E-05
2024.08.17 04:00:00,2_9218446798E-05
2024.08.17 05:00:00,2_91677042696E-05
2024.08.17 06:00:00,2_90997486445E-05
2024.08.17 07:00:00,2_89945273835E-05
2024.08.17 08:00:00,2_88260034722E-05
2024.08.17 09:00:00,2_8723217838E-05
2024.08.17 10:00:00,2_85686764983E-05
2024.08.17 11:00:00,2_85372880171E-05
2024.08.17 12:00:00,2_85295373033E-05
2024.08.17 13:00:00,2_85324258584E-05
2024.08.17 14:00:00,2_85209753201E-05
2024.08.17 15:00:00,2_84923407889E-05
2024.08.17 16:00:00,2_84481102426E-05
2024.08.17 17:00:00,2_83979934466E-05
2024.08.17 18:00:00,2_83613735519E-05
2024.08.17 19:00:00,2_83072113234E-05
2024.08.17 20:00:00,2_82518794847E-05
2024.08.17 21:00:00,2_82122946373E-05
2024.08.17 22:00:00,2_81483971776E-05
2024.08.17 23:00:00,2_80929943983E-05
2024.08.18 00:00:00,2_80383828795E-05
2024.08.18 01:00:00,2_79970063275E-05
2024.08.18 02:00:00,2_79545110971E-05
2024.08.18 03:00:00,2_79102569039E-05
2024.08.18 04:00:00,2_78640127362E-05
2024.08.18 05:00:00,2_78189218079E-05
2024.08.18 06:00:00,2_7764328479E-05
2024.08.18 07:00:00,2_76632890746E-05
2024.08.18 08:00:00,2_76282135019E-05
2024.08.18 09:00:00,2_7579950256E-05
2024.08.18 10:00:00,2_74838112091E-05
2024.08.18 11:00:00,2_74626163446E-05
2024.08.18 12:00:00,2_74147514574E-05
2024.08.18 13:00:00,2_736676106E-05
2024.08.18 14:00:00,2_73180248769E-05
2024.08.18 15:00:00,2_72946799669E-05
2024.08.18 16:00:00,2_72566649073E-05
2024.08.18 17:00:00,2_72165107162E-05
2024.08.18 18:00:00,2_71768221864E-05
2024.08.18 19:00:00,2_71157387033E-05
2024.08.18 20:00:00,2_70962900686E-05
2024.08.18 21:00:00,2_70363925665E-05
2024.08.18 22:00:00,2_699322431E-05
2024.08.18 23:00:00,2_69034753728E-05
2024.08.19 00:00:00,2_69007596216E-05
2024.08.19 01:00:00,2_67491795967E-05
2024.08.19 02:00:00,2_65417129413E-05
2024.08.19 03:00:00,2_66418446699E-05
2024.08.19 04:00:00,2_66270180873E-05
2024.08.19 05:00:00,2_65973958449E-05
2024.08.19 06:00:00,2_64958271146E-05
2024.08.19 07:00:00,2_64881400653E-05
2024.08.19 08:00:00,2_64507925749E-05
2024.08.19 09:00:00,2_63852743956E-05
2024.08.19 10:00:00,2_63433466898E-05
2024.08.19 11:00:00,2_62695193669E-05
2024.08.19 12:00:00,2_6223833629E-05
2024.08.19 13:00:00,2_61962522927E-05
2024.08.19 14:00:00,2_61567638518E-05
2024.08.19 15:00:00,2_61239219981E-05
2024.08.19 16:00:00,2_61182922259E-05
2024.08.19 17:00:00,2_60645774688E-05
2024.08.19 18:00:00,2_60206434177E-05
2024.08.19 19:00:00,2_59372955043E-05
2024.08.19 20:00:00,2_58928030235E-05
2024.08.19 21:00:00,2_58363252215E-05
2024.08.19 22:00:00,2_58036834566E-05
2024.08.19 23:00:00,2_57649735431E-05
2024.08.20 00:00:00,2_57227275142E-05
2024.08.20 01:00:00,2_56616403931E-05
2024.08.20 02:00:00,2_56296698353E-05
2024.08.20 03:00:00,2_55501818174E-05
2024.08.20 04:00:00,2_54535461863E-05
2024.08.20 05:00:00,2_54105671047E-05
2024.08.20 06:00:00,2_54077422142E-05
2024.08.20 07:00:00,2_53627677012E-05
2024.08.20 08:00:00,2_53234302363E-05
2024.08.20 09:00:00,2_52714871749E-05
2024.08.20 10:00:00,2_52241206908E-05
2024.08.20 11:00:00,2_51646852121E-05
2024.08.20 12:00:00,2_51151705015E-05
2024.08.20 13:00:00,2_50767643593E-05
2024.08.20 14:00:00,2_50026005233E-05
2024.08.20 15:00:00,2_49840431934E-05
2024.08.20 16:00:00,2_49321692536E-05
2024.08.20 17:00:00,2_49283948506E-05
2024.08.20 18:00:00,2_48875003308E-05
2024.08.20 19:00:00,2_48554879363E-05
2024.08.20 20:00:00,2_48214055318E-05
2024.08.20 21:00:00,2_47725220106E-05
2024.08.20 22:00:00,2_45750907197E-05
2024.08.20 23:00:00,2_46603722189E-05
2024.08.21 00:00:00,2_46326690103E-05
2024.08.21 01:00:00,2_4547243811E-05
2024.08.21 02:00:00,2_45343053393E-05
2024.08.21 03:00:00,2_44946513703E-05
2024.08.21 04:00:00,2_44489747274E-05
2024.08.21 05:00:00,2_44065686275E-05
2024.08.21 06:00:00,2_43628201133E-05
