Time [yyyy.MM.dd HH:mm:ss],dTR1 [g/m3]
2024.08.13 19:00:00,2_66174192802E-05
2024.08.13 20:00:00,2_67581453954E-05
2024.08.13 21:00:00,2_69224674412E-05
2024.08.13 22:00:00,2_70816126431E-05
2024.08.13 23:00:00,2_71994758805E-05
2024.08.14 00:00:00,2_7261356081E-05
2024.08.14 01:00:00,2_72900560958E-05
2024.08.14 02:00:00,2_7250371204E-05
2024.08.14 03:00:00,2_72993183899E-05
2024.08.14 04:00:00,2_73720488622E-05
2024.08.14 05:00:00,2_74528465525E-05
2024.08.14 06:00:00,2_75379388768E-05
2024.08.14 07:00:00,2_76234568446E-05
2024.08.14 08:00:00,2_76988521364E-05
2024.08.14 09:00:00,2_77357066807E-05
2024.08.14 10:00:00,2_77381714113E-05
2024.08.14 11:00:00,2_77339622698E-05
2024.08.14 12:00:00,2_77412109426E-05
2024.08.14 13:00:00,2_77651142824E-05
2024.08.14 14:00:00,2_77621165878E-05
2024.08.14 15:00:00,2_77581075352E-05
2024.08.14 16:00:00,2_77380877378E-05
2024.08.14 17:00:00,2_76992395811E-05
2024.08.14 18:00:00,2_76713981293E-05
2024.08.14 19:00:00,2_76402315649E-05
2024.08.14 20:00:00,2_75911679637E-05
2024.08.14 21:00:00,2_7539621442E-05
2024.08.14 22:00:00,2_74730264209E-05
2024.08.14 23:00:00,2_74101057585E-05
2024.08.15 00:00:00,2_73543191724E-05
2024.08.15 01:00:00,2_73082605418E-05
2024.08.15 02:00:00,2_72536890407E-05
2024.08.15 03:00:00,2_71935641649E-05
2024.08.15 04:00:00,2_71244261967E-05
2024.08.15 05:00:00,2_70418186119E-05
2024.08.15 06:00:00,2_69477659458E-05
2024.08.15 07:00:00,2_683855746E-05
2024.08.15 08:00:00,2_67224040726E-05
2024.08.15 09:00:00,2_6617964977E-05
2024.08.15 10:00:00,2_6536428777E-05
2024.08.15 11:00:00,2_6464686016E-05
2024.08.15 12:00:00,2_64093250735E-05
2024.08.15 13:00:00,2_63790589088E-05
2024.08.15 14:00:00,2_63769925368E-05
2024.08.15 15:00:00,2_63900546997E-05
2024.08.15 16:00:00,2_64182144747E-05
2024.08.15 17:00:00,2_642639447E-05
2024.08.15 18:00:00,2_63909823843E-05
2024.08.15 19:00:00,2_63332967734E-05
2024.08.15 20:00:00,2_62441772065E-05
2024.08.15 21:00:00,2_6143332434E-05
2024.08.15 22:00:00,2_60361211986E-05
2024.08.15 23:00:00,2_59274474956E-05
2024.08.16 00:00:00,2_58042746282E-05
2024.08.16 01:00:00,2_56731673289E-05
2024.08.16 02:00:00,2_55371196545E-05
2024.08.16 03:00:00,2_54009282799E-05
2024.08.16 04:00:00,2_5272154744E-05
2024.08.16 05:00:00,2_51492365351E-05
2024.08.16 06:00:00,2_5034916689E-05
2024.08.16 07:00:00,2_49293352681E-05
2024.08.16 08:00:00,2_48269734584E-05
2024.08.16 09:00:00,2_47128409683E-05
2024.08.16 10:00:00,2_45751580223E-05
2024.08.16 11:00:00,2_44036236836E-05
2024.08.16 12:00:00,2_42030037043E-05
2024.08.16 13:00:00,2_39963246713E-05
2024.08.16 14:00:00,2_38243101194E-05
2024.08.16 15:00:00,2_37203639699E-05
2024.08.16 16:00:00,2_36693249462E-05
2024.08.16 17:00:00,2_36557916651E-05
2024.08.16 18:00:00,2_36613977904E-05
2024.08.16 19:00:00,2_36766336457E-05
2024.08.16 20:00:00,2_37030490098E-05
2024.08.16 21:00:00,2_37362219195E-05
2024.08.16 22:00:00,2_37683016167E-05
2024.08.16 23:00:00,2_37920412474E-05
2024.08.17 00:00:00,2_38029297179E-05
2024.08.17 01:00:00,2_38055981754E-05
2024.08.17 02:00:00,2_38000448007E-05
2024.08.17 03:00:00,2_37821168412E-05
2024.08.17 04:00:00,2_37580006797E-05
2024.08.17 05:00:00,2_37338335864E-05
2024.08.17 06:00:00,2_36940049945E-05
2024.08.17 07:00:00,2_35986844928E-05
2024.08.17 08:00:00,2_33870923694E-05
2024.08.17 09:00:00,2_31060621445E-05
2024.08.17 10:00:00,2_28629342018E-05
2024.08.17 11:00:00,2_27063901548E-05
2024.08.17 12:00:00,2_26707179536E-05
2024.08.17 13:00:00,2_27571963478E-05
2024.08.17 14:00:00,2_29414054047E-05
2024.08.17 15:00:00,2_31402846111E-05
2024.08.17 16:00:00,2_32842703554E-05
2024.08.17 17:00:00,2_33714854403E-05
2024.08.17 18:00:00,2_34193230426E-05
2024.08.17 19:00:00,2_34397648455E-05
2024.08.17 20:00:00,2_34405160882E-05
2024.08.17 21:00:00,2_34211220231E-05
2024.08.17 22:00:00,2_33858663705E-05
2024.08.17 23:00:00,2_33380415011E-05
2024.08.18 00:00:00,2_32802412938E-05
2024.08.18 01:00:00,2_32322672673E-05
2024.08.18 02:00:00,2_31881258514E-05
2024.08.18 03:00:00,2_31482372328E-05
2024.08.18 04:00:00,2_31102112593E-05
2024.08.18 05:00:00,2_30662135436E-05
2024.08.18 06:00:00,2_3019632863E-05
2024.08.18 07:00:00,2_2972941224E-05
2024.08.18 08:00:00,2_29470024351E-05
2024.08.18 09:00:00,2_29288907576E-05
2024.08.18 10:00:00,2_29021861742E-05
2024.08.18 11:00:00,2_28694752877E-05
2024.08.18 12:00:00,2_2833379262E-05
2024.08.18 13:00:00,2_28138978855E-05
2024.08.18 14:00:00,2_28431745199E-05
2024.08.18 15:00:00,2_29337565543E-05
2024.08.18 16:00:00,2_30350160564E-05
2024.08.18 17:00:00,2_31079447985E-05
2024.08.18 18:00:00,2_31501653616E-05
2024.08.18 19:00:00,2_31437279581E-05
2024.08.18 20:00:00,2_31107223954E-05
2024.08.18 21:00:00,2_30617642956E-05
2024.08.18 22:00:00,2_30066998483E-05
2024.08.18 23:00:00,2_29393954214E-05
2024.08.19 00:00:00,2_28830995184E-05
2024.08.19 01:00:00,2_28102253459E-05
2024.08.19 02:00:00,2_27135278692E-05
2024.08.19 03:00:00,2_26541287702E-05
2024.08.19 04:00:00,2_26022893912E-05
2024.08.19 05:00:00,2_2563366656E-05
2024.08.19 06:00:00,2_25087514991E-05
2024.08.19 07:00:00,2_24534869631E-05
2024.08.19 08:00:00,2_24000796152E-05
2024.08.19 09:00:00,2_23751831072E-05
2024.08.19 10:00:00,2_23955867114E-05
2024.08.19 11:00:00,2_24239483941E-05
2024.08.19 12:00:00,2_2437712687E-05
2024.08.19 13:00:00,2_25273633987E-05
2024.08.19 14:00:00,2_27343789447E-05
2024.08.19 15:00:00,2_29567394854E-05
2024.08.19 16:00:00,2_31262183661E-05
2024.08.19 17:00:00,2_31912417803E-05
2024.08.19 18:00:00,2_31475914916E-05
2024.08.19 19:00:00,2_3114564101E-05
2024.08.19 20:00:00,2_30589976127E-05
2024.08.19 21:00:00,2_29617053265E-05
2024.08.19 22:00:00,2_28583212447E-05
2024.08.19 23:00:00,2_27805467148E-05
2024.08.20 00:00:00,2_26985066547E-05
2024.08.20 01:00:00,2_26151532843E-05
2024.08.20 02:00:00,2_25199783017E-05
2024.08.20 03:00:00,2_24192717724E-05
2024.08.20 04:00:00,2_23377574002E-05
2024.08.20 05:00:00,2_22647904593E-05
2024.08.20 06:00:00,2_21894533752E-05
2024.08.20 07:00:00,2_20969177462E-05
2024.08.20 08:00:00,2_20006750169E-05
2024.08.20 09:00:00,2_19186731556E-05
2024.08.20 10:00:00,2_18584336835E-05
2024.08.20 11:00:00,2_18063287321E-05
2024.08.20 12:00:00,2_17469114432E-05
2024.08.20 13:00:00,2_17003107537E-05
2024.08.20 14:00:00,2_16640164581E-05
2024.08.20 15:00:00,2_16453008761E-05
2024.08.20 16:00:00,2_16349908442E-05
2024.08.20 17:00:00,2_16301341425E-05
2024.08.20 18:00:00,2_1618034225E-05
2024.08.20 19:00:00,2_15841173485E-05
2024.08.20 20:00:00,2_15137515625E-05
2024.08.20 21:00:00,2_14189603867E-05
2024.08.20 22:00:00,2_12896502489E-05
2024.08.20 23:00:00,2_1184763682E-05
2024.08.21 00:00:00,2_1088631911E-05
2024.08.21 01:00:00,2_09774316318E-05
2024.08.21 02:00:00,2_0884182959E-05
2024.08.21 03:00:00,2_08201709029E-05
2024.08.21 04:00:00,2_07725079235E-05
2024.08.21 05:00:00,2_07330103876E-05
2024.08.21 06:00:00,2_06944314414E-05
2024.08.21 07:00:00,2_06542736123E-05
2024.08.21 08:00:00,2_06186468859E-05
2024.08.21 09:00:00,2_05837932299E-05
2024.08.21 10:00:00,2_05555752473E-05
2024.08.21 11:00:00,2_05304913834E-05
2024.08.21 12:00:00,2_05438536796E-05
2024.08.21 13:00:00,2_06009899557E-05
2024.08.21 14:00:00,2_06516906474E-05
2024.08.21 15:00:00,2_07037119253E-05
2024.08.21 16:00:00,2_0783247237E-05
2024.08.21 17:00:00,2_08395304071E-05
2024.08.21 18:00:00,2_08396995731E-05
2024.08.21 19:00:00,2_07942666748E-05
2024.08.21 20:00:00,2_07029588637E-05
2024.08.21 21:00:00,2_05667711271E-05
2024.08.21 22:00:00,2_0383788069E-05
2024.08.21 23:00:00,2_01751063287E-05
2024.08.22 00:00:00,1_99848818738E-05
2024.08.22 01:00:00,1_98439011001E-05
2024.08.22 02:00:00,1_9751914806E-05
2024.08.22 03:00:00,1_96730416064E-05
2024.08.22 04:00:00,1_95635584532E-05
2024.08.22 05:00:00,1_94186450244E-05
2024.08.22 06:00:00,1_92382558453E-05
2024.08.22 07:00:00,1_89997626876E-05
2024.08.22 08:00:00,1_87001623999E-05
2024.08.22 09:00:00,1_83859701792E-05
2024.08.22 10:00:00,1_81120540219E-05
2024.08.22 11:00:00,1_78294230864E-05
2024.08.22 12:00:00,1_75341101567E-05
2024.08.22 13:00:00,1_72873387783E-05
2024.08.22 14:00:00,1_71048686752E-05
2024.08.22 15:00:00,1_70025577972E-05
2024.08.22 16:00:00,1_69884915522E-05
2024.08.22 17:00:00,1_70227067429E-05
2024.08.22 18:00:00,1_70514031197E-05
2024.08.22 19:00:00,1_70439234353E-05
2024.08.22 20:00:00,1_70201928995E-05
2024.08.22 21:00:00,1_69858012669E-05
2024.08.22 22:00:00,1_69508130057E-05
2024.08.22 23:00:00,1_69258073583E-05
2024.08.23 00:00:00,1_69157810888E-05
2024.08.23 01:00:00,1_69328086486E-05
2024.08.23 02:00:00,1_69548093254E-05
2024.08.23 03:00:00,1_69827380887E-05
2024.08.23 04:00:00,1_70119019458E-05
2024.08.23 05:00:00,1_70340808836E-05
2024.08.23 06:00:00,1_70538205566E-05
2024.08.23 07:00:00,1_70689818333E-05
2024.08.23 08:00:00,1_70874536707E-05
2024.08.23 09:00:00,1_71117553691E-05
2024.08.23 10:00:00,1_71374576894E-05
2024.08.23 11:00:00,1_71724750544E-05
2024.08.23 12:00:00,1_7222842871E-05
2024.08.23 13:00:00,1_72738873516E-05
2024.08.23 14:00:00,1_72929867404E-05
2024.08.23 15:00:00,1_72969484993E-05
2024.08.23 16:00:00,1_73294065462E-05
2024.08.23 17:00:00,1_73811240529E-05
2024.08.23 18:00:00,1_74268679984E-05
2024.08.23 19:00:00,1_74265569512E-05
2024.08.23 20:00:00,1_73802473E-05
2024.08.23 21:00:00,1_73152566276E-05
2024.08.23 22:00:00,1_72655581991E-05
2024.08.23 23:00:00,1_7242060494E-05
2024.08.24 00:00:00,1_72459931491E-05
2024.08.24 01:00:00,1_72730015038E-05
2024.08.24 02:00:00,1_73031621671E-05
2024.08.24 03:00:00,1_73275839188E-05
2024.08.24 04:00:00,1_73528551386E-05
2024.08.24 05:00:00,1_73747193912E-05
2024.08.24 06:00:00,1_73934331542E-05
2024.08.24 07:00:00,1_74204669747E-05
2024.08.24 08:00:00,1_74541655724E-05
2024.08.24 09:00:00,1_74884207809E-05
2024.08.24 10:00:00,1_75298373506E-05
2024.08.24 11:00:00,1_76036792254E-05
2024.08.24 12:00:00,1_77008078026E-05
2024.08.24 13:00:00,1_78081209015E-05
2024.08.24 14:00:00,1_79143135028E-05
2024.08.24 15:00:00,1_81630966836E-05
2024.08.24 16:00:00,1_86003435374E-05
2024.08.24 17:00:00,1_8915572582E-05
2024.08.24 18:00:00,1_9045866793E-05
2024.08.24 19:00:00,1_91013932636E-05
2024.08.24 20:00:00,1_91131148313E-05
2024.08.24 21:00:00,1_90927821677E-05
2024.08.24 22:00:00,1_90970895346E-05
2024.08.24 23:00:00,1_91004983208E-05
2024.08.25 00:00:00,1_90967639355E-05
2024.08.25 01:00:00,1_91045164684E-05
